Loại dữ liệu lms,Load dữ liệu lên màn hình,Collect user data,System action,Điều kiện chấm,Giá trị LMS + Question,
Câu dạng Đúng - Sai (true false),Có,Choose answer,none,"Chấm đúng/sai
1. chọn đúng","{
  lms: {
    type: practice
  },
  question: {
    id: 5,
    content: 'Is it a butterfly?',
    type: 'true_false',
    image_url: 'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_butterfly.png',
    answers: [
      'Yes, it is',
      'No'
    ],
    correct_answer: [
      'Yes, it is'
    ],
    
  }
}",user_answer == true
,,,,"Chấm đúng/sai
2. chọn sai",,user_answer == false
,,,,"Chấm đúng/sai
3. im lặng",,NO_ANSWER
Trắc nghiệm chọn 1 (single choice),Có,Choose answer,none,"Chấm đúng/sai
1. chọn đúng","{
  lms: {
    type: practice
  },
  question: {
    id: 6,
    content: 'Is it a butterfly?',
    type: 'single_choice',
    image_url: 'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_butterfly.png',
    answers: [
      'Yes, it is',
      'No'
    ],
    correct_answer: [
      'Yes, it is'
    ],
    
  }
}",user_answer == true
,,,,"Chấm đúng/sai
2. chọn sai",,user_answer == false
,,,,"Chấm đúng/sai
3. im lặng",,NO_ANSWER
"Matching
(ĐK dừng đưa vào rule)",Có,Choose answer,none,"Chấm đúng/sai theo %
1. Đúng hết (100%)","{
  lms: {
    type: practice
  },
  question: {
    id: 7,
    content: 'Matching',
    type: 'matching',
    list1: [
      'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_butterfly.png',
      'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_ant.png',
      'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_ladybug.png',
      'https://scontent.rinoedu.ai/teacherroger/Ver2/3Vocab/intro_insects.png',
      
    ],
    list2: [
      'ant',
      'butterfly',
      'insects',
      'ladybug'
    ],
    correct_answer: [
      'butterfly',
      'ant',
      'ladybug',
      'insects'
    ],
    
  }
}",user_answer >= 100
,,,,"Chấm đúng/sai theo %
2. Không đúng hết (các trường hợp còn lại)",,user_answer < 100
Game đập chuột,Có,Choose answer,none,"Chấm % đúng
1. Đúng bằng hoặc trên 70%",,user_answer >= 70
,,,,"Chấm % đúng
2. Đúng dưới 70%",,user_answer < 70
Conversation,Có,Voice,none,"Chấm điểm trung bình ngữ pháp & từ vựng
1. nói đúng (>=60%)","lms: {
    ""content"": ""Animals"",
    ""type"": ""conversation"",
    ""vocabularies"": [
        ""ant"",
        ""butterfly"",
        ""ladybug"",
        ""spider""
    ],
    ""related_vocabularies"": [
        ""ant"",
        ""butterfly"",
        ""ladybug"",
        ""spider""
    ],
    ""grammars"": [
        ""It is an ant"",
        ""This is a butterfly""
    ]
},
question: null",user_answer.avg_cumulative_score >= 60
,,,,"Chấm điểm trung bình ngữ pháp & từ vựng
2 nói đúng (< 60%) ",,user_answer.avg_cumulative_score < 60
Dialogue,Có,Voice,none,"Chấm phát âm trung bình
1. Nói đúng (>=60%)","{
  lms: {
    ""content"": ""Animals"",
    ""type"": ""dialogue"",
    ""questions"": [
      {
        ""question"": ""Do you like butterfly?"",
        ""answer"": ""Yes, I do"",
        
      },
      {
        ""question"": ""What color is it?"",
        ""answer"": ""It is red'"",
        
      }
    ]
  },
  question: null
}",user_answer.avg_cumulative_score >= 60
,,,,"Chấm phát âm trung bình
2 Nói chưa đúng (< 60%)",,user_answer.avg_cumulative_score < 60
Game phát âm,Có,Voice,none,"Chấm phát âm trung bình
1. Nói đúng (>=60%)",,user_answer.avg_cumulative_score >= 60
,,,,"Chấm phát âm trung bình
2 Nói chưa đúng (< 60%)",,user_answer.avg_cumulative_score < 60
